name,address,website,phone_number,reviews_count,reviews_average
General Practitioner Clinic at Sehat Medical Complex,"Hanjarwal Orange Line, Multan Rd, Station Mustafa Town, Lahore, Punjab, Pakistan",,+92 42 35410050,4,4.5
Dr. Sadia Family Clinic,"111, Block A Sher Shah Colony, Lahore, Punjab, Pakistan",,,1,5.0
CLINIC HEALTHCARE,"214-E L block Model Town Extension, Block L Model Town, Lahore, Punjab 54700, Pakistan",,+92 333 4307227,,
"NGP Clinic| Your Family doctor | Reverse Diabetes Centre |Health Care Centre | Doctor Home Service , Lahore Pakistan","Johar Medical Complex, 401, Lahore, 54782, Pakistan",,+92 311 1188810,2,3.0
Pakistan Academy of Family Physicians / DOCTORSCON,"House No, 3, Block A Faisal Town, Lahore, Punjab 54700, Pakistan",doctorscon.com,+92 322 4294926,18,4.1
Moosa Clinic (Home Checkup/Online Consultation),"Barkat Market New, Ali Block Garden Town, Lahore, Punjab 54000, Pakistan",gpship.blogspot.com,,15,4.7
"Clinic Dr Anwar ul Haq Khan, General Surgeon","Block D1 Gulberg III, Lahore, Punjab, Pakistan",,+92 313 5700017,15,5.0
Dr. Somia Iqtadar,"16, College Block Allama Iqbal Town, Lahore, Punjab 54570, Pakistan",,+92 322 4081528,7,5.0
Akbar Health clinic,"Ali Ali Chowk boy scout bazaar, Walton Rd, Lahore, 40050, Pakistan",,,,
Singapore Medical Centre,"Street 10, Gulshan Block Allama Iqbal Town, Lahore, Punjab 54000, Pakistan",,+92 42 38931649,25,3.8
Professor Dr Sajid Abaidullah,"G8RM+RGV, Race View, G.O.R. - I, Lahore, Punjab 54000, Pakistan",,+92 42 35408468,33,3.7
Nasim Family Clinic,"483-F ‏Main Blvd Gulshan-e-Ravi, F Block Block F Gulshan-e-Ravi, Lahore, Punjab 54000, Pakistan",,+92 300 4433642,,
HEALTH & CARE FAMILY CLINIC,"G7PX+7C7, Samanabad Town, Lahore, Punjab 54000, Pakistan",,,,
Dr Qurban Hussain Diabetologist & Endocrinologist in Lahore,"Chughtai medical center 17, College Road, near Ghazi chowk, Awasia Housing Society Awaisia Housing Scheme, Lahore, Punjab, Pakistan",business.site,+92 333 4063323,42,5.0
Abeer Family Clinic,"Salman Park, Ghoray Shah Rd, Bhogiwal Kot Khawaja Saeed, Lahore, Punjab 54000, Pakistan",business.site,,11,4.1
Dr. Faisal Masood - Consultant Physician & Gastroenterologist,"24, 25, 26 Maulana Shaukat Ali Rd, Block A Phase 1 Johar Town, Lahore, Punjab 54000, Pakistan",drfaisalmasood.business.site,+92 332 8743133,66,5.0
Citi Hospital,"Plot 284 Defence Rd, Block D Pgshs 1, Lahore, Punjab, Pakistan",,+92 321 4724400,66,4.0
Dr Nazim,"53 College Road, Block C PCSIR Staff Colony, Lahore, Punjab 54770, Pakistan",,,,
Family Medical Care Center,"E-178/1 Kohar Bhatta, Airport Road, near darul kafalah, bhatta chowk Gulshan e Ali Colony, Lahore, Punjab 54040, Pakistan",business.site,+92 332 4234945,,
Prof Dr Irshad Hussain Qureshi,"G8PJ+G53, Shadman 1 Shadman, Lahore, Punjab 54000, Pakistan",fitnessfiestapro.blogspot.com,+92 336 4598315,18,4.4
Tele Medicine Clinic,"66-G Street 3, Block G Gulberg III, Lahore, Punjab, Pakistan",,+92 42 35852314,,
Hakeem M.Saeed Tahir (Consultant Physician),"Main Bazar Punj Pir Lal pul, Mughalpura, Lahore, Punjab, Pakistan",,+92 333 4274808,,
Dr Qamar Iqbal Clinic / Suleman Clinic,"Street 1 Main Road, Railway Officer Colony Walton Railway Officers Colony, Lahore, Punjab, Pakistan",,,5,4.6
Dr. Wasim Aslam,"H76Q+VH8 Dr. Wasim Street, Sanda Rd, Krishan Nagar Lahore, Punjab 54000, Pakistan",,,1,5.0
Dr. Mehrin Farooq,"Dr. Mehrin Farooq Chughtai Medical Center 194-CCA, DHA Phase 4 Sector DD Dha Phase 4, Lahore, Punjab, Pakistan",facebook.com,+92 300 4947932,4,5.0
Mian Medical Center,"124 A main Blueward, A Block Block A Gulshan-e-Ravi, Lahore, Punjab 54000, Pakistan",,+92 302 7025152,1,5.0
Dr.Amjad Clinic,"229 Main Blvd, Nasheman Iqbal Phase 1 Nasheman-e-Iqbal Housing Society, Lahore, Punjab, Pakistan",,+92 321 4175605,3,4.7
Doctors' Office Family Health Centre,"Plaza 3, C-Commercial, Main Boulevard, Commercial Area Sector C Bahria Town, Lahore, Punjab 53720, Pakistan",,+92 301 1199556,5,4.6
